epoch,accuracy,loss,val_accuracy,val_loss
0,0.3694990277290344,1.3341361284255981,0.4380403459072113,1.289466142654419
1,0.6316080689430237,1.0028704404830933,0.6628242135047913,0.9234520792961121
2,0.794353723526001,0.5843262076377869,0.6974063515663147,0.7941360473632812
3,0.8452809453010559,0.42668068408966064,0.7002881765365601,0.7488716244697571
4,0.8773872256278992,0.33317381143569946,0.6916426420211792,0.8174675107002258
5,0.9108774065971375,0.2721516489982605,0.6916426420211792,0.855412483215332
6,0.922225296497345,0.2266051322221756,0.651296854019165,0.9287945032119751
7,0.9366177916526794,0.1939234882593155,0.6887608170509338,0.9490290284156799
8,0.949903130531311,0.16880975663661957,0.6945244669914246,0.9766159057617188
9,0.9515637755393982,0.14476653933525085,0.680115282535553,1.0099831819534302
10,0.9629117250442505,0.1271297037601471,0.6685879230499268,1.1221723556518555
11,0.9634652733802795,0.11682772636413574,0.6743515729904175,1.122822642326355
12,0.9687240719795227,0.10520351678133011,0.680115282535553,1.1598402261734009
13,0.973429262638092,0.0944267213344574,0.6858789920806885,1.1946569681167603
14,0.9706615209579468,0.09310103952884674,0.6743515729904175,1.2461217641830444
15,0.9725989699363708,0.08885044604539871,0.6887608170509338,1.2943845987319946
16,0.973706066608429,0.08273506909608841,0.6743515729904175,1.3209893703460693
17,0.9759202599525452,0.0791686400771141,0.6743515729904175,1.3499516248703003
18,0.9759202599525452,0.07554180175065994,0.7002881765365601,1.34689199924469
19,0.9753667116165161,0.0768798366189003,0.6858789920806885,1.3717371225357056
20,0.9761970639228821,0.07350869476795197,0.6887608170509338,1.3486239910125732
21,0.9778577089309692,0.06679055094718933,0.680115282535553,1.4107378721237183
22,0.9773041605949402,0.06613477319478989,0.6887608170509338,1.4240176677703857
23,0.9775809645652771,0.06150493398308754,0.6743515729904175,1.494194746017456
24,0.9778577089309692,0.06418722867965698,0.680115282535553,1.4809058904647827
